year,quarter,realgdp
1947.0,1.0,2034.45
1947.0,2.0,2029.024
1947.0,3.0,2024.834
1947.0,4.0,2056.508
1948.0,1.0,2087.442
1948.0,2.0,2121.899
1948.0,3.0,2134.056
1948.0,4.0,2136.44
1949.0,1.0,2107.001
1949.0,2.0,2099.814
1949.0,3.0,2121.493
1949.0,4.0,2103.688
1950.0,1.0,2186.365
1950.0,2.0,2253.045
1950.0,3.0,2340.112
1950.0,4.0,2384.92
1951.0,1.0,2417.311
1951.0,2.0,2459.196
1951.0,3.0,2509.88
1951.0,4.0,2515.408
1952.0,1.0,2542.286
1952.0,2.0,2547.762
1952.0,3.0,2566.153
1952.0,4.0,2650.431
1953.0,1.0,2699.699
1953.0,2.0,2720.566
1953.0,3.0,2705.258
1953.0,4.0,2664.302
1954.0,1.0,2651.566
1954.0,2.0,2654.456
1954.0,3.0,2684.434
1954.0,4.0,2736.96
1955.0,1.0,2815.134
1955.0,2.0,2860.942
1955.0,3.0,2899.578
1955.0,4.0,2916.985
1956.0,1.0,2905.656
1956.0,2.0,2929.666
1956.0,3.0,2927.034
1956.0,4.0,2975.209
1957.0,1.0,2994.259
1957.0,2.0,2987.699
1957.0,3.0,3016.979
1957.0,4.0,2985.775
1958.0,1.0,2908.281
1958.0,2.0,2927.395
1958.0,3.0,2995.112
1958.0,4.0,3065.141
1959.0,1.0,3123.978
1959.0,2.0,3194.429
1959.0,3.0,3196.683
1959.0,4.0,3205.79
1960.0,1.0,3277.847
1960.0,2.0,3260.177
1960.0,3.0,3276.133
1960.0,4.0,3234.087
1961.0,1.0,3255.914
1961.0,2.0,3311.181
1961.0,3.0,3374.742
1961.0,4.0,3440.924
1962.0,1.0,3502.298
1962.0,2.0,3533.947
1962.0,3.0,3577.362
1962.0,4.0,3589.128
1963.0,1.0,3628.306
1963.0,2.0,3669.02
1963.0,3.0,3749.681
1963.0,4.0,3774.264
1964.0,1.0,3853.835
1964.0,2.0,3895.793
1964.0,3.0,3956.657
1964.0,4.0,3968.878
1965.0,1.0,4064.915
1965.0,2.0,4116.267
1965.0,3.0,4207.782
1965.0,4.0,4304.731
1966.0,1.0,4409.518
1966.0,2.0,4424.581
1966.0,3.0,4462.053
1966.0,4.0,4498.66
1967.0,1.0,4538.498
1967.0,2.0,4541.28
1967.0,3.0,4584.246
1967.0,4.0,4618.812
1968.0,1.0,4713.013
1968.0,2.0,4791.758
1968.0,3.0,4828.892
1968.0,4.0,4847.885
1969.0,1.0,4923.76
1969.0,2.0,4938.728
